leadId,state,county,sourceStatus,taxClaimParcelId,parcelId,ownerName,propertyAddress,mailingAddress,class,landUseCode,acres,style,resLivingArea,yearBuilt,utility,appraisedLand,appraisedBuilding,appraisedTotal,saleDate,salePrice,schoolDistrict,district,cleanGreen,taxClaimPdfPage,sourceUrls,confidence,route,notes,nextAction,candidatePhone,candidateEmail,contactSource,matchBasis,doNotContactStatus
PA-YORK-UPSET-VACANT-0001,PA,York,taxClaimPdf+countyArcGIS,20-000-21-0035.00-00000,2000021003500,15 ORE ROAD OWNER LLC,45 ORE BANK RD,"2950 LEWISBERRY RD, YORK PA 17404-8376",C,499,1.23,,,,No Utilities,326140.0,,326140.0,,,014,20,,321,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0002,PA,York,taxClaimPdf+countyArcGIS,03-046-01-0005.00-00000,0304601000500,NWT LLC,212 N BEAVER ST,"3405 N 6TH ST, HARRISBURG PA 17110-1486",C,300,1.349,,,,All Public,137620.0,,137620.0,20-SEP-2024,375742.0,028,03,,20,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0004,PA,York,taxClaimPdf+countyArcGIS,52-000-28-0001.00-00000,5200028000100,WOODLAND DEVELOPMENT INC,15 FUHRMAN MILL RD,"130 CARLISLE RD, HANOVER PA 17331-2400",R,197,0.617,,,,"Public Water, Septic",36130.0,,36130.0,,,020,52,,989,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0007,PA,York,taxClaimPdf+countyArcGIS,43-000-02-0046.00-00000,4300002004600,LQ PRIVATE VENTURES 25 LLC,DOGWOOD RD,"15495 EAGLE NEST LN STE 210, MIAMI LAKES FL 33014-2242",R,100,0.461,,,,No Utilities,32970.0,,32970.0,01-SEP-2022,15000.0,018,43,,801,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0011,PA,York,taxClaimPdf+countyArcGIS,24-000-04-0004.00-00000,2400004000400,WINTER VAUGHN W REVOCABLE TRUST OF 2013,2811 CARLISLE RD,"980 SUMMIT CIR N, YORK PA 17403-4428",R,100,0.369,,,,All Public,30860.0,,30860.0,05-SEP-2014,1.0,006,24,,390,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0014,PA,York,taxClaimPdf+countyArcGIS,45-000-05-0208.00-00000,4500005020800,VALTSA LLC,SUSQUEHANNA TRL,"17308 SUSQUEHANNA TRL S, NEW FREEDOM PA 17349-8947",C,300,0.172,,,,No Utilities,29710.0,,29710.0,30-DEC-2010,750000.0,022,45,,854,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0016,PA,York,taxClaimPdf+countyArcGIS,24-000-03-0030.00-00000,2400003003000,WINTER FAMILY TRUST TRUSTEE VAUGHN W WINTER REVOC TR 2013,GRENWAY RD,"980 SUMMIT CIR N, YORK PA 17403-4428",R,100,0.344,,,,"Gas, Public Water",28340.0,,28340.0,28-SEP-2022,1.0,006,24,,389,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0017,PA,York,taxClaimPdf+countyArcGIS,67-000-18-0141.00-00000,6700018014100,BROADWAY HANOVER LLC,GEORGE ST,"4 ATWELL CT, POTOMAC MD 20854-6235",I,500,0.385,,,,All Public,28330.0,,28330.0,04-AUG-2022,4850000.0,010,67,,1131,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0018,PA,York,taxClaimPdf+countyArcGIS,43-000-02-0006.00-00000,4300002000600,LQ PRIVATE VENTURES 27 LLC,HILLVIEW RD,"2031 HARRISON ST, HOLLYWOOD FL 33020",R,100,0.588,,,,No Utilities,28160.0,,28160.0,01-SEP-2022,11500.0,018,43,,801,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0019,PA,York,taxClaimPdf+countyArcGIS,53-000-38-0002.00-00000,5300038000200,ANDATO LLC,DAYTON CT,"494 WINDSOR RD, YORK PA 17402-9522",R,100,0.247,,,,"Well, Septic",28090.0,,28090.0,08-MAY-2026,60000.0,016,53,,1002,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
