leadId,market,name,phone,email,website,contactName,buyBox,confidence
buyer:joshua-tree-ca-92252:lough-construction,joshua-tree-ca-92252,Lough Construction,(310) 773-0589 ext. 72746,,https://www.buildzoom.com/contractor/lough-construction,,,87
buyer:joshua-tree-ca-92252:michael-c-mcgowan-construction,joshua-tree-ca-92252,MICHAEL C MCGOWAN CONSTRUCTION,(310) 773-0589 ext. 114049,,https://www.buildzoom.com/contractor/michael-c-mcgowan-construction,,,85
buyer:joshua-tree-ca-92252:dauphin-construction,joshua-tree-ca-92252,Dauphin Construction,(310) 773-0589 ext. 11647,,https://www.buildzoom.com/contractor/dauphin-construction,,,85
buyer:joshua-tree-ca-92252:michael-lenton-construction,joshua-tree-ca-92252,Michael Lenton Construction,(310) 773-0589 ext. 187610,,https://www.buildzoom.com/contractor/michael-lenton-construction,,,85
buyer:joshua-tree-ca-92252:sterling-reid-knuth-construction,joshua-tree-ca-92252,Sterling Reid Knuth Construction,(310) 773-0589 ext. 85249,,https://www.buildzoom.com/contractor/sterling-reid-knuth-construction,,,84
buyer:joshua-tree-ca-92252:strongarm-construction,joshua-tree-ca-92252,Strongarm Construction,(310) 773-0589 ext. 121040,,https://www.buildzoom.com/contractor/strongarm-construction,,,84
buyer:joshua-tree-ca-92252:coast-management-construction-inc,joshua-tree-ca-92252,Coast Management Construction Inc,(310) 773-0589 ext. 204514,,https://www.buildzoom.com/contractor/coast-management-construction-inc,,,84
buyer:joshua-tree-ca-92252:creative-desert-construction,joshua-tree-ca-92252,Creative Desert Construction,(310) 773-0589 ext. 24188,,https://www.buildzoom.com/contractor/creative-desert-construction-joshua-tree-ca,,,84
buyer:joshua-tree-ca-92252:beard-construction,joshua-tree-ca-92252,Beard Construction,(415) 635-0584 ext. 68459,,https://www.buildzoom.com/contractor/beard-construction,,,84
buyer:joshua-tree-ca-92252:iben-construction,joshua-tree-ca-92252,Iben Construction,(310) 773-0589 ext. 119400,,https://www.buildzoom.com/contractor/iben-construction,,,84
buyer:joshua-tree-ca-92252:redux-construction,joshua-tree-ca-92252,Redux Construction,(310) 773-0589 ext. 166210,,https://www.buildzoom.com/contractor/redux-construction,,,84
buyer:joshua-tree-ca-92252:keizer-construction,joshua-tree-ca-92252,Keizer Construction,(415) 635-0584 ext. 313297,,https://www.buildzoom.com/contractor/keizer-construction,,,84
buyer:joshua-tree-ca-92252:rodger-duffie-construction,joshua-tree-ca-92252,RODGER DUFFIE CONSTRUCTION,(310) 773-0589 ext. 191390,,https://www.buildzoom.com/contractor/rodger-duffie-construction,,,84
buyer:joshua-tree-ca-92252:livebythepark-inc,joshua-tree-ca-92252,LIVEBYTHEPARK INC,(310) 773-0589 ext. 96432,,https://www.buildzoom.com/contractor/livebythepark-inc,,,76
buyer:joshua-tree-ca-92252:nadine-s-enterprises,joshua-tree-ca-92252,NADINE'S ENTERPRISES,(310) 773-0589 ext. 22631,,https://www.buildzoom.com/contractor/nadines-enterprises,,,76
buyer:joshua-tree-ca-92252:industrial-design-house-inc,joshua-tree-ca-92252,INDUSTRIAL DESIGN HOUSE INC,(415) 635-0584 ext. 23019,,https://www.buildzoom.com/contractor/industrial-design-house-inc,,,76
buyer:joshua-tree-ca-92252:edward-daniel-suarez,joshua-tree-ca-92252,Edward Daniel Suarez,(310) 773-0589 ext. 125444,,https://www.buildzoom.com/contractor/edward-daniel-suarez,,,76
buyer:joshua-tree-ca-92252:nicholas-holmes,joshua-tree-ca-92252,Nicholas Holmes,(415) 635-0584 ext. 271260,,https://www.buildzoom.com/contractor/nicholas-holmes,,,76
buyer:joshua-tree-ca-92252:steve-o-s-remodeling-inc,joshua-tree-ca-92252,Steve O's Remodeling Inc,(415) 635-0584 ext. 119605,,https://www.buildzoom.com/contractor/steve-os-remodeling-inc,,,76
buyer:joshua-tree-ca-92252:greg-j-meade-general-contractor,joshua-tree-ca-92252,Greg J Meade General Contractor,(415) 635-0584 ext. 61916,,https://www.buildzoom.com/contractor/greg-j-meade-general-contractor,,,76
buyer:joshua-tree-ca-92252:e-a-construction,joshua-tree-ca-92252,E&a Construction,,,https://www.buildzoom.com/contractor/e-a-construction-joshua-tree-ca,,,66
buyer:joshua-tree-ca-92252:a-d-artistic-design,joshua-tree-ca-92252,A/d Artistic Design,(415) 635-0584 ext. 278605,,https://www.buildzoom.com/contractor/a-d-artistic-design,,,30
buyer:joshua-tree-ca-92252:high-desert-homes-inc,joshua-tree-ca-92252,High Desert Homes Inc,,,https://www.buildzoom.com/contractor/high-desert-homes-inc-joshua-tree-ca,,,20
buyer:joshua-tree-ca-92252:jim-o-day-s-construction,joshua-tree-ca-92252,Jim O'day's Construction,,,https://www.buildzoom.com/contractor/jim-odays-construction,,,20
buyer:joshua-tree-ca-92252:roy-r-smith,joshua-tree-ca-92252,Roy R Smith,,,https://www.buildzoom.com/contractor/roy-r-smith,,,12
buyer:joshua-tree-ca-92252:taylor-george-wayne,joshua-tree-ca-92252,Taylor George Wayne,,,https://www.buildzoom.com/contractor/taylor-george-wayne,,,12
